Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mestre,Italy,Northern America and Europe,96.69,European Commission DG REGIO,877
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Metz,France,Northern America and Europe,97.35,European Commission DG REGIO,878
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mexico City,Mexico,Latin America and the Caribbean ,40.43,UN-Habitat Urban Indicators Database,879
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Midelt,Morocco,Western Asia  and Northern Africa ,64.44,UN-Habitat Urban Indicators Database,880
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mielec,Poland,Northern America and Europe,51.69,UN-Habitat Urban Indicators Database,881
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Palmerston,New Zealand,Australia and New Zealand ,95.56,UN-Habitat Urban Indicators Database,882
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pamplona/Iruña,Spain,Northern America and Europe,96.93,European Commission DG REGIO,883
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pançakent [Panjakent],Tajikistan,Central and Southern Asia ,34.98,UN-Habitat Urban Indicators Database,884
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Panevežys,Lithuania,Northern America and Europe,91.03,European Commission DG REGIO,885
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mazyr ,Belarus ,Northern America and Europe,79.23,UN-Habitat Urban Indicators Database,886
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pila,Poland,Northern America and Europe,95.06,European Commission DG REGIO,887
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Northampton,United Kingdom,Northern America and Europe,95.98,European Commission DG REGIO,888
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Parakou,Benin,Sub-Saharan Africa,11.22,UN-Habitat Urban Indicators Database,889
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Paraná,Argentina,Latin America and the Caribbean ,25.27,UN-Habitat Urban Indicators Database,890
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Parauapebas,Brazil,Latin America and the Caribbean ,78.46,UN-Habitat Urban Indicators Database,891
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Parbhani,India,Central and Southern Asia ,24.85,UN-Habitat Urban Indicators Database,892
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pardubice,Czech Republic,Northern America and Europe,92.91,European Commission DG REGIO,893
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Parepare,Indonesia,Eastern and South-Eastern Asia,7.28,UN-Habitat Urban Indicators Database,894
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Paris,France,Northern America and Europe,97.66,European Commission DG REGIO,895
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Parla,Spain,Northern America and Europe,99.12,European Commission DG REGIO,896
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Passos,Brazil,Latin America and the Caribbean ,87.17,UN-Habitat Urban Indicators Database,897
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pathein,Myanmar,Eastern and South-Eastern Asia,19.09,UN-Habitat Urban Indicators Database,898
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Patna,India,Central and Southern Asia ,15.25,UN-Habitat Urban Indicators Database,899
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pau,France,Northern America and Europe,96.93,European Commission DG REGIO,900
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pavia,Italy,Northern America and Europe,98.25,European Commission DG REGIO,901
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pavlodar,Kazakhstan,Central and Southern Asia ,42.85,UN-Habitat Urban Indicators Database,902
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Paysandu,Uruguay,Latin America and the Caribbean ,26.76,UN-Habitat Urban Indicators Database,903
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pécs,Hungary,Northern America and Europe,89.7,European Commission DG REGIO,904
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pekalongan,Indonesia,Eastern and South-Eastern Asia,13.9,UN-Habitat Urban Indicators Database,905
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pemalang,Indonesia,Eastern and South-Eastern Asia,41.93,UN-Habitat Urban Indicators Database,906
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pematangtiantar,Indonesia,Eastern and South-Eastern Asia,8.04,UN-Habitat Urban Indicators Database,907
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pemba,Mozambique,Sub-Saharan Africa,45.97,UN-Habitat Urban Indicators Database,908
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Perpignan,France,Northern America and Europe,94.36,European Commission DG REGIO,909
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Perth,Australia,Australia and New Zealand ,45.45,UN-Habitat Urban Indicators Database,910
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Perugia,Italy,Northern America and Europe,93.16,European Commission DG REGIO,911
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pesaro,Italy,Northern America and Europe,99.73,European Commission DG REGIO,912
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Peshawar,Pakistan,Central and Southern Asia ,6.2,UN-Habitat Urban Indicators Database,913
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Peterborough,United Kingdom,Northern America and Europe,85.62,European Commission DG REGIO,914
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pforzheim,Germany,Northern America and Europe,98.75,European Commission DG REGIO,915
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Phattalung,Thailand,Eastern and South-Eastern Asia,37.07,UN-Habitat Urban Indicators Database,916
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Montgomery,United States,Northern America and Europe,35.29,UN-Habitat Urban Indicators Database,917
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Monterrey,Mexico,Latin America and the Caribbean ,10.66,UN-Habitat Urban Indicators Database,918
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Nakuru,Kenya,Sub-Saharan Africa,12.89,UN-Habitat Urban Indicators Database,919
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Matara,Sri-Lanka,Central and Southern Asia ,53.66,UN-Habitat Urban Indicators Database,920
